file miF_event maF_event weighted_maF_events
test1_unlab_g0.01_k0.1_p2_r100_c1.txt 33.784 13.741 25.008
test1_unlab_g0.01_k0.1_p2_r100_c10.txt 33.784 13.741 25.008
test1_unlab_g0.01_k0.1_p2_r100_c100.txt 33.784 13.741 25.008
test1_unlab_g0.01_k0.1_p2_r100_c1000.txt 43.243 47.365 43.431
test1_unlab_g0.01_k0.1_p2_r100_c10000.txt 32.432 41.119 31.837
test1_unlab_g0.01_k0.1_p2_r100_c100000.txt 32.432 41.119 31.837
test1_unlab_g0.01_k1_p2_r100_c1.txt 33.784 13.729 24.977
test1_unlab_g0.01_k1_p2_r100_c10.txt 33.784 13.729 24.977
test1_unlab_g0.01_k1_p2_r100_c100.txt 52.703 58.201 49.442
test1_unlab_g0.01_k1_p2_r100_c1000.txt 45.946 57.583 46.984
test1_unlab_g0.01_k1_p2_r100_c10000.txt 45.946 57.583 46.984
test1_unlab_g0.01_k1_p2_r100_c100000.txt 45.946 57.583 46.984
test1_unlab_g0.01_k10_p2_r100_c1.txt 32.432 13.510 24.543
test1_unlab_g0.01_k10_p2_r100_c10.txt 32.432 13.510 24.543
test1_unlab_g0.01_k10_p2_r100_c100.txt 52.703 56.004 49.622
test1_unlab_g0.01_k10_p2_r100_c1000.txt 50.000 54.705 47.282
test1_unlab_g0.01_k10_p2_r100_c10000.txt 50.000 54.705 47.282
test1_unlab_g0.01_k10_p2_r100_c100000.txt 50.000 54.705 47.282
test1_unlab_g0.01_k100_p2_r100_c1.txt 29.730 11.382 20.870
test1_unlab_g0.01_k100_p2_r100_c10.txt 32.432 17.115 25.705
test1_unlab_g0.01_k100_p2_r100_c100.txt 32.432 17.115 25.705
test1_unlab_g0.01_k100_p2_r100_c1000.txt 32.432 17.398 26.233
test1_unlab_g0.01_k100_p2_r100_c10000.txt 32.432 17.398 26.233
test1_unlab_g0.01_k100_p2_r100_c100000.txt 32.432 17.398 26.233
test1_unlab_g0.1_k0.1_p2_r100_c1.txt 33.784 14.283 25.935
test1_unlab_g0.1_k0.1_p2_r100_c10.txt 33.784 14.283 25.935
test1_unlab_g0.1_k0.1_p2_r100_c100.txt 40.541 25.864 35.821
test1_unlab_g0.1_k0.1_p2_r100_c1000.txt 35.135 28.674 33.428
test1_unlab_g0.1_k0.1_p2_r100_c10000.txt 35.135 28.674 33.428
test1_unlab_g0.1_k0.1_p2_r100_c100000.txt 35.135 28.674 33.428
test1_unlab_g0.1_k1_p2_r100_c1.txt 33.784 14.283 25.935
test1_unlab_g0.1_k1_p2_r100_c10.txt 33.784 14.283 25.935
test1_unlab_g0.1_k1_p2_r100_c100.txt 44.595 39.828 40.510
test1_unlab_g0.1_k1_p2_r100_c1000.txt 44.595 39.736 40.420
test1_unlab_g0.1_k1_p2_r100_c10000.txt 44.595 39.736 40.420
test1_unlab_g0.1_k1_p2_r100_c100000.txt 44.595 39.736 40.420
test1_unlab_g0.1_k10_p2_r100_c1.txt 31.081 12.914 23.555
test1_unlab_g0.1_k10_p2_r100_c10.txt 31.081 12.914 23.555
test1_unlab_g0.1_k10_p2_r100_c100.txt 39.189 43.363 36.888
test1_unlab_g0.1_k10_p2_r100_c1000.txt 39.189 43.363 36.888
test1_unlab_g0.1_k10_p2_r100_c10000.txt 39.189 43.363 36.888
test1_unlab_g0.1_k10_p2_r100_c100000.txt 39.189 43.363 36.888
test1_unlab_g0.1_k100_p2_r100_c1.txt 31.081 9.237 17.226
test1_unlab_g0.1_k100_p2_r100_c10.txt 31.081 9.237 17.226
test1_unlab_g0.1_k100_p2_r100_c100.txt 31.081 9.237 17.226
