file miF_frames maF_frames weighted_maF_frames 
test1_unlab_g0.01_k0.1_p2_r100_c1.txt 11.658 8.305 5.115
test1_unlab_g0.01_k0.1_p2_r100_c10.txt 11.658 8.305 5.115
test1_unlab_g0.01_k0.1_p2_r100_c100.txt 17.186 12.980 14.766
test1_unlab_g0.01_k0.1_p2_r100_c1000.txt 30.553 30.697 33.054
test1_unlab_g0.01_k0.1_p2_r100_c10000.txt 30.854 29.340 32.145
test1_unlab_g0.01_k0.1_p2_r100_c100000.txt 30.854 29.340 32.145
test1_unlab_g0.01_k1_p2_r100_c1.txt 12.764 11.461 7.088
test1_unlab_g0.01_k1_p2_r100_c10.txt 12.764 11.461 7.088
test1_unlab_g0.01_k1_p2_r100_c100.txt 36.080 38.873 36.210
test1_unlab_g0.01_k1_p2_r100_c1000.txt 38.392 38.088 38.971
test1_unlab_g0.01_k1_p2_r100_c10000.txt 38.392 38.088 38.971
test1_unlab_g0.01_k1_p2_r100_c100000.txt 38.392 38.088 38.971
test1_unlab_g0.01_k10_p2_r100_c1.txt 13.166 10.501 6.486
test1_unlab_g0.01_k10_p2_r100_c10.txt 13.166 10.501 6.486
test1_unlab_g0.01_k10_p2_r100_c100.txt 36.382 56.786 39.502
test1_unlab_g0.01_k10_p2_r100_c1000.txt 34.573 55.160 38.520
test1_unlab_g0.01_k10_p2_r100_c10000.txt 34.573 55.160 38.520
test1_unlab_g0.01_k10_p2_r100_c100000.txt 34.573 55.160 38.520
test1_unlab_g0.01_k100_p2_r100_c1.txt 8.844 5.127 3.155
test1_unlab_g0.01_k100_p2_r100_c10.txt 20.000 13.466 20.301
test1_unlab_g0.01_k100_p2_r100_c100.txt 20.804 18.670 26.150
test1_unlab_g0.01_k100_p2_r100_c1000.txt 20.804 18.670 26.150
test1_unlab_g0.01_k100_p2_r100_c10000.txt 20.804 18.670 26.150
test1_unlab_g0.01_k100_p2_r100_c100000.txt 20.804 18.670 26.150
test1_unlab_g0.1_k0.1_p2_r100_c1.txt 12.663 9.359 5.771
test1_unlab_g0.1_k0.1_p2_r100_c10.txt 12.663 9.359 5.771
test1_unlab_g0.1_k0.1_p2_r100_c100.txt 38.392 38.299 39.929
test1_unlab_g0.1_k0.1_p2_r100_c1000.txt 36.181 32.739 37.092
test1_unlab_g0.1_k0.1_p2_r100_c10000.txt 36.181 32.739 37.092
test1_unlab_g0.1_k0.1_p2_r100_c100000.txt 36.181 32.739 37.092
test1_unlab_g0.1_k1_p2_r100_c1.txt 10.251 6.747 4.163
test1_unlab_g0.1_k1_p2_r100_c10.txt 10.251 6.747 4.163
test1_unlab_g0.1_k1_p2_r100_c100.txt 37.286 36.200 38.802
test1_unlab_g0.1_k1_p2_r100_c1000.txt 38.191 37.160 39.370
test1_unlab_g0.1_k1_p2_r100_c10000.txt 38.191 37.160 39.370
test1_unlab_g0.1_k1_p2_r100_c100000.txt 38.191 37.160 39.370
test1_unlab_g0.1_k10_p2_r100_c1.txt 9.548 5.592 3.433
test1_unlab_g0.1_k10_p2_r100_c10.txt 25.226 21.986 25.704
test1_unlab_g0.1_k10_p2_r100_c100.txt 31.256 38.907 33.522
test1_unlab_g0.1_k10_p2_r100_c1000.txt 31.256 38.907 33.522
test1_unlab_g0.1_k10_p2_r100_c10000.txt 31.256 38.907 33.522
test1_unlab_g0.1_k10_p2_r100_c100000.txt 31.256 38.907 33.522
test1_unlab_g0.1_k100_p2_r100_c1.txt 10.452 3.154 1.978
test1_unlab_g0.1_k100_p2_r100_c10.txt 10.452 3.154 1.978
test1_unlab_g0.1_k100_p2_r100_c100.txt 10.452 3.154 1.978
test1_unlab_g0.1_k100_p2_r100_c1000.txt 10.452 3.154 1.978
test1_unlab_g0.1_k100_p2_r100_c10000.txt 10.452 3.154 1.978
test1_unlab_g0.1_k100_p2_r100_c100000.txt 10.452 3.154 1.978
test1_unlab_g1_k0.1_p2_r100_c1.txt 11.055 5.049 3.150
test1_unlab_g1_k0.1_p2_r100_c10.txt 11.055 5.049 3.150
test1_unlab_g1_k0.1_p2_r100_c100.txt 11.055 5.049 3.150
test1_unlab_g1_k0.1_p2_r100_c1000.txt 15.980 11.270 13.741
test1_unlab_g1_k0.1_p2_r100_c10000.txt 15.980 11.270 13.741
test1_unlab_g1_k0.1_p2_r100_c100000.txt 15.980 11.270 13.741
test1_unlab_g1_k1_p2_r100_c1.txt 9.849 3.417 2.019
test1_unlab_g1_k1_p2_r100_c10.txt 9.849 3.417 2.019
